00001MANUEL MARTINEZ     125500752500500
00002GLENDALIE GONZALEZ  250001002501000
00003CARLOS RIVERA       075500500000250
00004MARIA RODRIGUEZ     500002500002500
00005JOSE SANTIAGO       325751252501500
00006ANA LOPEZ           180000900000750
00007LUIS HERNANDEZ      450002000002000
00008CARMEN TORRES       095250450000500
00009PEDRO ORTIZ         600003000003000
00010SOFIA RAMOS         210501002500900
00011MIGUEL COLON        350001755001250
00012LAURA VEGA          125750602500625
00013RAFAEL CRUZ         800004000004000
00014ELENA MORALES       275001255001100
00015DAVID FIGUEROA      150000750000500
00016ISABEL SERRANO      425502002501750
00017JORGE MENDEZ        090500455000300
00018PATRICIA REYES      700003500003500
00019RICARDO DIAZ        240001205001000
00020NATALIA FLORES      550002750002250
