E0001MANUEL MARTINEZ     010104500012345678902A1                                
E0002MARIA GONZALEZ      010205250023456789001A2                                
E0003CARLOS RIVERA       010303875034567890103B1                                
E0004ANA RODRIGUEZ       020106120045678901200A3                                
E0005JOSE HERNANDEZ      020204780056789012304B2                                
E0006LUZ SANTIAGO        020305500067890123402A2                                
E0007PEDRO TORRES        030104160078901234501B1                                
E0008CARMEN ORTIZ        030206850089012345603A3                                
E0009MIGUEL COLON        030303690090123456700C1                                
E0010SOFIA RAMOS         040104975011223344502B2                                
E0011RAFAEL VEGA         040207320022334455601A4                                
E0012ELENA MORALES       040304430033445566702B1                                
E0013JUAN DIAZ           050105890044556677805A2                                
E0014ISABEL PEREZ        050203950055667788900C2                                
E0015DANIEL LOPEZ        050306400066778899003A3                                
E0016TERESA MENDEZ       060104625077889900101B2                                
E0017ANDRES CASTRO       060208150088990011202A4                                
E0018GLORIA NAVARRO      060304310099001122304B1                                
E0019RICARDO SOTO        070105760010111213102A2                                
E0020PATRICIA REYES      070205040020212223200B2                                
